serialNumber,date,latestFullness,fullnessThreshold,reason_code,longitude,latitude,year,month,day,weekday
1510830,2018-08-26,0.0,6.0,2,144.6601949611,-37.9018111375,2018,8,26,6
1510830,2018-08-27,2.0,6.0,2,144.6601949611,-37.9018111375,2018,8,27,0
1510830,2018-08-28,2.0,6.0,2,144.6601949611,-37.9018111375,2018,8,28,1
1510830,2018-08-29,4.0,6.0,2,144.6601949611,-37.9018111375,2018,8,29,2
1510830,2018-08-30,8.0,6.0,1,144.6601949611,-37.9018111375,2018,8,30,3
1510830,2018-08-31,0.0,6.0,2,144.6601949611,-37.9018111375,2018,8,31,4
1510830,2018-09-01,2.0,6.0,2,144.6601949611,-37.9018111375,2018,9,1,5
1510830,2018-09-02,4.0,6.0,2,144.6601949611,-37.9018111375,2018,9,2,6
1510830,2018-09-03,8.0,6.0,1,144.6601949611,-37.9018111375,2018,9,3,0
1510830,2018-09-04,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,4,1
1510830,2018-09-05,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,5,2
1510830,2018-09-06,4.0,6.0,2,144.6601949611,-37.9018111375,2018,9,6,3
1510830,2018-09-07,4.0,6.0,2,144.6601949611,-37.9018111375,2018,9,7,4
1510830,2018-09-08,8.0,6.0,1,144.6601949611,-37.9018111375,2018,9,8,5
1510830,2018-09-09,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,9,6
1510830,2018-09-10,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,10,0
1510830,2018-09-11,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,11,1
1510830,2018-09-12,2.0,6.0,2,144.6601949611,-37.9018111375,2018,9,12,2
1510830,2018-09-13,6.0,6.0,1,144.6601949611,-37.9018111375,2018,9,13,3
1510830,2018-09-14,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,14,4
1510830,2018-09-15,6.0,6.0,1,144.6601949611,-37.9018111375,2018,9,15,5
1510830,2018-09-16,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,16,6
1510830,2018-09-17,2.0,6.0,2,144.6601949611,-37.9018111375,2018,9,17,0
1510830,2018-09-18,4.0,6.0,2,144.6601949611,-37.9018111375,2018,9,18,1
1510830,2018-09-19,8.0,6.0,1,144.6601949611,-37.9018111375,2018,9,19,2
1510830,2018-09-20,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,20,3
1510830,2018-09-21,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,21,4
1510830,2018-09-22,6.0,6.0,1,144.6601949611,-37.9018111375,2018,9,22,5
1510830,2018-09-23,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,23,6
1510830,2018-09-24,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,24,0
1510830,2018-09-25,6.0,6.0,1,144.6601949611,-37.9018111375,2018,9,25,1
1510830,2018-09-26,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,26,2
1510830,2018-09-27,6.0,6.0,1,144.6601949611,-37.9018111375,2018,9,27,3
1510830,2018-09-28,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,28,4
1510830,2018-09-29,0.0,6.0,2,144.6601949611,-37.9018111375,2018,9,29,5
1510830,2018-09-30,6.0,6.0,1,144.6601949611,-37.9018111375,2018,9,30,6
1510830,2018-10-01,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,1,0
1510830,2018-10-02,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,2,1
1510830,2018-10-03,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,3,2
1510830,2018-10-04,4.0,6.0,2,144.6601949611,-37.9018111375,2018,10,4,3
1510830,2018-10-05,8.0,6.0,1,144.6601949611,-37.9018111375,2018,10,5,4
1510830,2018-10-06,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,6,5
1510830,2018-10-07,2.0,6.0,2,144.6601949611,-37.9018111375,2018,10,7,6
1510830,2018-10-08,4.0,6.0,2,144.6601949611,-37.9018111375,2018,10,8,0
1510830,2018-10-09,8.0,6.0,1,144.6601949611,-37.9018111375,2018,10,9,1
1510830,2018-10-10,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,10,2
1510830,2018-10-11,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,11,3
1510830,2018-10-12,4.0,6.0,2,144.6601949611,-37.9018111375,2018,10,12,4
1510830,2018-10-13,6.0,6.0,1,144.6601949611,-37.9018111375,2018,10,13,5
1510830,2018-10-14,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,14,6
1510830,2018-10-15,4.0,6.0,2,144.6601949611,-37.9018111375,2018,10,15,0
1510830,2018-10-16,4.0,6.0,2,144.6601949611,-37.9018111375,2018,10,16,1
1510830,2018-10-17,4.0,6.0,2,144.6601949611,-37.9018111375,2018,10,17,2
1510830,2018-10-18,8.0,6.0,1,144.6601949611,-37.9018111375,2018,10,18,3
1510830,2018-10-19,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,19,4
1510830,2018-10-20,4.0,6.0,2,144.6601949611,-37.9018111375,2018,10,20,5
1510830,2018-10-21,8.0,6.0,1,144.6601949611,-37.9018111375,2018,10,21,6
1510830,2018-10-22,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,22,0
1510830,2018-10-23,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,23,1
1510830,2018-10-24,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,24,2
1510830,2018-10-25,4.0,6.0,2,144.6601949611,-37.9018111375,2018,10,25,3
1510830,2018-10-26,8.0,6.0,1,144.6601949611,-37.9018111375,2018,10,26,4
1510830,2018-10-27,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,27,5
1510830,2018-10-28,2.0,6.0,2,144.6601949611,-37.9018111375,2018,10,28,6
1510830,2018-10-29,6.0,6.0,1,144.6601949611,-37.9018111375,2018,10,29,0
1510830,2018-10-30,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,30,1
1510830,2018-10-31,0.0,6.0,2,144.6601949611,-37.9018111375,2018,10,31,2
1510830,2018-11-01,4.0,6.0,2,144.6601949611,-37.9018111375,2018,11,1,3
1510830,2018-11-02,6.0,6.0,1,144.6601949611,-37.9018111375,2018,11,2,4
1510830,2018-11-03,0.0,6.0,2,144.6601949611,-37.9018111375,2018,11,3,5
1510830,2018-11-04,6.0,6.0,1,144.6601949611,-37.9018111375,2018,11,4,6
1510830,2018-11-05,0.0,6.0,2,144.6601949611,-37.9018111375,2018,11,5,0
1510830,2018-11-06,0.0,6.0,2,144.6601949611,-37.9018111375,2018,11,6,1
1510830,2018-11-07,0.0,6.0,2,144.6601949611,-37.9018111375,2018,11,7,2
1510830,2018-11-08,4.0,6.0,2,144.6601949611,-37.9018111375,2018,11,8,3
1510830,2018-11-09,6.0,6.0,1,144.6601949611,-37.9018111375,2018,11,9,4
1510830,2018-11-10,6.285714285714286,6.0,1,144.6601949611,-37.9018111375,2018,11,10,5
1510830,2018-11-11,6.571428571428571,6.0,1,144.6601949611,-37.9018111375,2018,11,11,6
1510830,2018-11-12,6.857142857142857,6.0,1,144.6601949611,-37.9018111375,2018,11,12,0
1510830,2018-11-13,7.142857142857142,6.0,1,144.6601949611,-37.9018111375,2018,11,13,1
1510830,2018-11-14,7.428571428571429,6.0,1,144.6601949611,-37.9018111375,2018,11,14,2
1510830,2018-11-15,7.714285714285714,6.0,1,144.6601949611,-37.9018111375,2018,11,15,3
1510830,2018-11-16,8.0,6.0,1,144.6601949611,-37.9018111375,2018,11,16,4
1510830,2018-11-17,8.285714285714285,6.0,1,144.6601949611,-37.9018111375,2018,11,17,5
1510830,2018-11-18,8.571428571428571,6.0,1,144.6601949611,-37.9018111375,2018,11,18,6
