timestamp,latestFullness,fullnessThreshold,ageThreshold,serialNumber,reason,description,position,longitude,latitude
2021-02-04,0,8,0,1511211,NOT_READY,Cash Converters R Werribee,center,144.6614327211,-37.9007198946
2021-02-04,0,8,0,1511212,NOT_READY,General Practice R Werribee,center,144.66128,-37.900181
2021-02-04,4,8,0,1511213,NOT_READY,79 Watton St R Werribee,center,144.6611613075,-37.9013126406
2021-02-04,0,8,0,1511214,NOT_READY,Ally Fashion R Point Cook,center,144.7354533333,-37.883445
2021-02-04,10,8,0,1511215,FULLNESS,Woolworths R Point Cook,center,144.7351335129,-37.884073105
2021-02-04,0,8,0,1511216,NOT_READY,Hockingstuart R Werribee,center,144.661874373,-37.9005884942
2021-02-04,0,8,0,1511217,NOT_READY,Ballan House R Werribee,center,144.6619360691,-37.901148703
2021-02-04,4,8,0,1511218,NOT_READY,Aldi R Point Cook,center,144.7356466667,-37.882425
2021-02-04,6,8,0,1511219,NOT_READY,Proven Training R Werribee,center,144.6614718221,-37.9000687209
2021-02-04,4,8,0,1511220,NOT_READY,Nandos R Point Cook,center,144.7352166667,-37.88323
2021-02-04,0,8,0,1511221,NOT_READY,Park Hotel R Werribee,center,144.6614036347,-37.9011767991
2021-02-07,4,8,0,1511190,NOT_READY,Aldi G Point Cook,center,144.7356233333,-37.8825216667
2021-02-07,0,8,0,1511191,NOT_READY,Cash Converters G Werribee,center,144.6614092517,-37.9007616667
2021-02-07,4,8,0,1511192,NOT_READY,General Practice R Werribee,center,144.66128,-37.900181
2021-02-07,2,8,0,1511193,NOT_READY,Wedge St Piazza G Werribee,center,144.6575503108,-37.9030024868
2021-02-07,0,8,0,1511194,NOT_READY,Ally Fashion G Point Cook,center,144.7354966667,-37.88338
2021-02-07,2,8,0,1511195,NOT_READY,Nandos G Point Cook,center,144.7351407368,-37.8832200529
2021-02-07,10,8,0,1511196,FULLNESS,Woolworths G Point Cook,center,144.7351416667,-37.8841133333
2021-02-07,6,8,0,1511197,NOT_READY,Ballan House G Werribee,center,144.6619166667,-37.9011583333
2021-02-07,10,8,0,1511198,ALERT,79 Watton St G Werribee,center,144.6611494901,-37.9013174858
